TransactionID,AccountOriginID,AccountDestinationID,TransactionTypeID,Amount,TransactionDate,BranchID,Description,Year,Month,Day
3034931,201032,200181,2,4706.64,2020-04-18 19:00:00.000000,5,Transaction 34931,2020,4,18
3013785,200632,201238,2,4137.87,2022-04-18 23:00:00.000000,10,Transaction 13785,2022,4,18
3046413,200260,200497,2,1056.54,2020-01-25 02:00:00.000000,2,Transaction 46413,2020,1,25
3019230,200591,200838,2,1546.1,2020-11-30 07:00:00.000000,8,Transaction 19230,2020,11,30
3042732,201039,200217,3,4167.54,2023-07-26 23:00:00.000000,47,Transaction 42732,2023,7,26
3018683,201337,200416,1,3028.09,2022-09-10 10:00:00.000000,11,Transaction 18683,2022,9,10
3000862,201418,201224,2,2812.16,2020-04-11 21:00:00.000000,1,Transaction 862,2020,4,11
3004383,201271,200837,1,4174.04,2026-07-20 15:01:43.084879,35,Transaction 4383,2026,7,20
3026422,201531,200997,3,4036.57,2022-01-07 13:00:00.000000,24,Transaction 26422,2022,1,7
3011383,201013,200692,4,267.09,2023-05-31 16:00:00.000000,20,Transaction 11383,2023,5,31
3018596,200609,201139,2,2746.06,2020-10-17 03:00:00.000000,9,Transaction 18596,2020,10,17
3010481,200599,200587,4,1384.76,2020-08-19 04:00:00.000000,12,Transaction 10481,2020,8,19
3016841,200474,200769,3,2063.54,2020-02-14 09:00:00.000000,48,Transaction 16841,2020,2,14
3004738,200867,201216,3,4012.55,2022-10-29 21:00:00.000000,17,Transaction 4738,2022,10,29
3042376,200822,201233,3,4431.79,2022-08-21 13:00:00.000000,1,Transaction 42376,2022,8,21
3018250,200526,201230,3,2929.51,2024-01-08 11:00:00.000000,40,Transaction 18250,2024,1,8
3031390,200633,200694,1,3737.57,2021-01-20 23:00:00.000000,45,Transaction 31390,2021,1,20
3034975,200782,201447,3,3348.16,2020-05-28 05:00:00.000000,49,Transaction 34975,2020,5,28
3046724,201229,200137,4,3198.7,2023-02-07 13:00:00.000000,43,Transaction 46724,2023,2,7
3005630,200658,200327,1,1573.52,2023-11-11 10:00:00.000000,1,Transaction 5630,2023,11,11
3015768,200269,201451,4,4950.14,2024-01-12 01:00:00.000000,7,Transaction 5768,2024,1,12
3048467,200842,201040,4,3427.48,2020-01-01 08:00:00.000000,11,Transaction 48467,2020,1,1
3010840,201637,200916,4,4171.57,2024-01-03 23:00:00.000000,40,Transaction 10840,2024,1,3
3028301,200086,201396,2,1278.14,2023-06-20 06:00:00.000000,17,Transaction 28301,2023,6,20
3031467,201540,200544,3,4445.22,2022-01-08 01:00:00.000000,49,Transaction 31467,2022,1,8
3037589,200180,200152,4,4726.4,2024-01-10 17:00:00.000000,19,Transaction 37589,2024,1,10
3041294,201627,200900,2,1199.68,2023-02-02 11:00:00.000000,48,Transaction 41294,2023,2,2
3037773,201318,200532,3,631.37,2023-03-13 09:00:00.000000,34,Transaction 37773,2023,3,13
3016471,201625,200594,2,2620.01,2020-09-29 06:00:00.000000,48,Transaction 16471,2020,9,29
3014253,201509,201423,2,3017.29,2023-08-05 03:00:00.000000,33,Transaction 14253,2023,8,5
3014622,200975,200789,1,756.41,2021-02-09 22:00:00.000000,3,Transaction 14622,2021,2,9
3037367,200735,201390,2,1471.08,2020-11-29 09:00:00.000000,45,Transaction 37367,2020,11,29
3017323,201122,200986,1,1344.99,2023-04-05 14:00:00.000000,12,Transaction 17323,2023,4,5
3023106,200657,200084,1,2733.77,2021-07-21 03:00:00.000000,33,Transaction 23106,2021,7,21
3024261,201025,200552,4,4017.59,2021-07-22 11:00:00.000000,46,Transaction 24261,2021,7,22
3040691,200297,201247,3,288.83,2020-03-22 22:00:00.000000,9,Transaction 40691,2020,3,22
3040398,201353,201159,2,520.45,2022-06-14 00:00:00.000000,2,Transaction 40398,2022,6,14
3009612,201427,200530,3,2981.74,2021-09-01 22:00:00.000000,8,Transaction 9612,2021,9,1
3001023,200042,201314,3,3236.09,2021-07-31 14:00:00.000000,8,Transaction 1023,2021,7,31
3001080,200923,200706,2,717.59,2021-05-31 13:00:00.000000,37,Transaction 1080,2021,5,31
3027491,200839,200924,3,4708.29,2020-12-24 23:00:00.000000,38,Transaction 27491,2020,12,24
3011045,200367,201260,2,2731.3,2020-03-25 13:00:00.000000,4,Transaction 11045,2020,3,25
3046084,201491,200114,3,4465.14,2020-06-03 21:00:00.000000,14,Transaction 46084,2020,6,3
3007099,200457,201167,1,1745.05,2021-02-03 06:00:00.000000,11,Transaction 7099,2021,2,3
3014661,200058,200408,3,1391.51,2020-07-04 10:00:00.000000,1,Transaction 14661,2020,7,4
3034534,200118,201633,3,1021.94,2021-04-22 17:00:00.000000,30,Transaction 34534,2021,4,22
3013882,200573,200478,1,1366.96,2022-08-15 15:00:00.000000,5,Transaction 13882,2022,8,15
3017705,200386,200859,1,4861.61,2023-07-24 08:00:00.000000,17,Transaction 17705,2023,7,24
3030170,200782,200057,1,4755.47,2023-06-17 20:00:00.000000,26,Transaction 30170,2023,6,17
3017440,200711,200668,1,1503.47,2021-10-17 09:00:00.000000,41,Transation 17440,2021,10,17
3008047,200613,200191,4,3638.16,2022-02-27 05:00:00.000000,47,Transaction 8047,2022,2,27
3041258,200690,200760,4,2252.47,2020-03-13 10:00:00.000000,7,Transaction 41258,2020,3,13
3010525,200139,201262,3,4330.3,2020-09-26 03:00:00.000000,44,Transaction 10525,2020,9,26
3004124,200480,200000,2,885.0,2021-08-29 05:00:00.000000,21,Transaction 4124,2021,8,29
3038809,200716,200872,3,3750.5,2020-09-11 03:00:00.000000,33,Transaction 38809,2020,9,11
3028576,200615,200262,2,3001.86,2020-08-08 00:00:00.000000,25,Transaction 28576,2020,8,8
3000060,200266,200201,2,2352.89,2020-02-02 12:00:00.000000,27,Transaction 60,2020,2,2
3040257,200469,201056,3,881.84,2020-11-08 00:00:00.000000,24,Transaction 40257,2020,11,8
3017861,200341,200808,3,1120.88,2023-06-10 00:00:00.000000,41,Transaction 17861,2023,6,10
3042666,200302,200090,2,2734.14,2022-03-29 06:00:00.000000,15,Transaction 42666,2022,3,29
3017498,201566,201288,3,3299.68,2021-05-10 17:00:00.000000,49,Transaction 17498,2021,5,10
3005114,200550,201534,3,208.93,2022-01-25 00:00:00.000000,48,Transaction 5114,2022,1,25
3042660,200977,200901,2,3198.1,2021-10-02 13:00:00.000000,27,Transaction 42660,2021,10,2
3035403,200093,200441,1,1330.36,2022-09-20 16:00:00.000000,10,Transaction 35403,2022,9,20
3000916,200292,200775,3,3684.09,2021-09-13 23:00:00.000000,42,Transaction 916,2021,9,13
3009131,200638,200113,2,1940.06,2021-07-13 09:00:00.000000,23,Transaction 9131,2021,7,13
3025954,200373,201387,3,3682.82,2020-11-10 01:00:00.000000,32,Transaction 25954,2020,11,10
3005586,201171,200654,3,2652.83,2020-05-22 20:00:00.000000,37,Transaction 5586,2020,5,22
3009998,200806,201390,1,329.73,2021-02-14 18:00:00.000000,2,Transaction 9998,2021,2,14
3012468,200785,201630,1,4851.12,2020-05-12 03:00:00.000000,44,Transaction 12468,2020,5,12
3041968,200365,201485,2,79.36,2022-01-25 00:00:00.000000,1,Transaction 41968,2022,1,25
3024384,200385,200359,3,623.37,2023-01-23 06:00:00.000000,33,Transaction 24384,2023,1,23
3019568,201194,201240,2,3397.71,2020-08-25 08:00:00.000000,20,Transaction 19568,2020,8,25
3047429,200142,201161,1,3111.84,2022-09-20 15:00:00.000000,41,Transaction 47429,2022,9,20
3000717,200620,200459,3,2665.96,2023-02-15 07:00:00.000000,37,Transaction 717,2023,2,15
3038007,201011,200265,1,4765.37,2022-01-18 18:00:00.000000,25,Transaction 38007,2022,1,18
3011829,200721,200118,1,1537.46,2022-12-11 15:00:00.000000,15,Transaction 11829,2022,12,11
3046075,200621,201027,4,2905.62,2020-08-22 14:00:00.000000,3,Transaction 46075,2020,8,22
3017528,200626,200574,2,2174.21,2020-06-25 20:00:00.000000,35,Transaction 17528,2020,6,25
3023453,201261,201300,2,3307.35,2022-10-28 16:00:00.000000,27,Transaction 23453,2022,10,28
3010410,201531,201098,1,1958.92,2022-07-31 00:00:00.000000,27,Transaction 10410,2022,7,31
3045214,200822,200351,3,3844.61,2022-12-24 05:00:00.000000,8,Transaction 45214,2022,12,24
3018483,201625,201366,1,3142.43,2021-05-29 21:00:00.000000,34,Transaction 18483,2021,5,29
3041039,201407,200617,2,3724.71,2026-03-23 15:01:43.084879,44,Transaction 41039,2026,3,23
3016677,200242,200561,1,2584.66,2022-06-01 16:00:00.000000,36,Transaction 16677,2022,6,1
3004826,200950,201530,3,3327.61,2021-01-09 07:00:00.000000,43,Transaction 4826,2021,1,9
3010518,200491,200808,1,2386.97,2022-01-06 05:00:00.000000,42,Transaction 10518,2022,1,6
3043637,201295,201544,1,170.82,2022-04-08 07:00:00.000000,49,Transaction 43637,2022,4,8
3022635,200643,200077,1,2857.37,2022-07-13 06:00:00.000000,41,Transaction 22635,2022,7,13
3002349,200410,201249,2,4025.09,2021-12-12 03:00:00.000000,13,Transaction 2349,2021,12,12
3002060,200492,201455,1,3322.6,2020-05-16 11:00:00.000000,18,Transaction 2060,2020,5,16
3025316,200824,200858,2,3103.82,2022-01-06 05:00:00.000000,39,Transaction 25316,2022,1,6
3005672,200003,201429,2,4110.65,2023-05-30 00:00:00.000000,30,Transaction 5672,2023,5,30
3016123,201451,200467,3,1269.41,2022-03-23 19:00:00.000000,34,Transaction 16123,2022,3,23
3000665,201431,201209,2,4971.05,2021-08-22 06:00:00.000000,36,Transaction 665,2021,8,22
3040747,200277,200723,4,2164.86,2020-12-12 12:00:00.000000,39,Transaction 40747,2020,12,12
3045803,200989,201327,3,1737.05,2021-05-08 17:00:00.000000,20,Transaction 45803,2021,5,8
3039806,200139,201190,1,7.77,2022-11-02 16:00:00.000000,34,Transaction 39806,2022,11,2
3013115,201100,200602,1,2091.95,2023-03-03 11:00:00.000000,17,Transaction 13115,2023,3,3
3030330,201072,200990,1,2989.78,2021-08-08 06:00:00.000000,14,Transaction 30330,2021,8,8
3011190,200814,201628,2,3554.15,2022-11-15 15:00:00.000000,9,Transaction 11190,2022,11,15
3027466,200267,200676,1,2961.69,2021-06-14 10:00:00.000000,16,Transaction 27466,2021,6,14
3048832,200831,200409,2,4138.08,2020-12-03 17:00:00.000000,28,Transaction 48832,2020,12,3
3041186,201198,200778,2,1320.73,2023-05-29 15:00:00.000000,24,Transaction 41186,2023,5,29
3038658,200453,200597,1,4761.73,2022-05-29 08:00:00.000000,41,Transaction 38658,2022,5,29
3008827,200259,200950,3,2272.35,2020-07-05 01:00:00.000000,1,Transaction 8827,2020,7,5
3008559,200758,200499,4,4604.0,2020-08-11 15:00:00.000000,15,Transaction 8559,2020,8,11
3041500,200217,200678,3,416.25,2023-04-04 21:00:00.000000,37,Transaction 41500,2023,4,4
3042189,201498,200894,2,4696.83,2020-08-29 01:00:00.000000,14,Transaction 42189,2020,8,29
3045960,200184,201019,2,2352.45,2020-03-14 18:00:00.000000,21,Transaction 45960,2020,3,14
3026661,200725,200896,3,4829.14,2022-08-02 01:00:00.000000,32,Transaction 26661,2022,8,2
3048405,200251,200147,3,3958.23,2022-06-29 08:00:00.000000,30,Transaction 48405,2022,6,29
3000416,200678,200273,3,2516.16,2021-02-12 20:00:00.000000,25,Transaction 416,2021,2,12
3039782,201626,200815,3,647.48,2020-07-05 13:00:00.000000,24,Transaction 39782,2020,7,5
3044105,200291,201151,3,1941.05,2020-08-04 14:00:00.000000,15,Transaction 44105,2020,8,4
3037521,201216,201584,1,3777.47,2020-05-09 00:00:00.000000,48,Transaction 37521,2020,5,9
3037964,201035,200065,1,880.68,2022-06-22 01:00:00.000000,38,Transaction 37964,2022,6,22
3048217,200392,201450,2,841.2,2022-04-04 00:00:00.000000,46,Transaction 48217,2022,4,4
3029903,200315,200400,1,4773.48,2022-04-21 19:00:00.000000,48,Transaction 29903,2022,4,21
3039041,201016,201425,1,4863.73,2020-10-20 03:00:00.000000,7,Transaction 39041,2020,10,20
3037656,201612,200351,3,1187.46,2021-12-15 09:00:00.000000,44,Transaction 37656,2021,12,15
3047029,201320,200189,3,3286.45,2023-09-25 17:00:00.000000,22,Transaction 47029,2023,9,25
3024716,200673,200975,1,3765.97,2023-05-13 16:00:00.000000,15,Transaction 24716,2023,5,13
3030884,200711,200423,2,3704.82,2022-05-19 09:00:00.000000,14,Transaction 30884,2022,5,19
3045592,200545,200864,2,1385.51,2023-07-04 05:00:00.000000,8,Transaction 45592,2023,7,4
3007457,201328,201070,1,656.02,2020-09-16 02:00:00.000000,20,Transaction 7457,2020,9,16
3004464,200502,201552,1,2594.64,2022-06-03 08:00:00.000000,12,Transaction 4464,2022,6,3
3007063,200841,201431,1,2762.64,2022-09-28 17:00:00.000000,9,Transaction 7063,2022,9,28
3036474,200284,200854,2,1391.08,2023-01-19 04:00:00.000000,14,Transaction 36474,2023,1,19
3003666,200444,200920,3,9.82,2021-08-07 09:00:00.000000,38,Transaction 3666,2021,8,7
3030397,200605,201262,1,4698.78,2021-11-21 14:00:00.000000,22,Transaction 30397,2021,11,21
3024034,200297,200517,1,3862.18,2022-02-11 15:00:00.000000,44,Transaction 24034,2022,2,11
3013160,201048,201000,2,1416.85,2023-12-17 10:00:00.000000,2,Transaction 13160,2023,12,17
3012788,200930,200164,1,834.32,2020-09-08 20:00:00.000000,40,Transaction 12788,2020,9,8
3010965,200726,201059,3,4318.42,2022-05-12 05:00:00.000000,17,Transaction 10965,2022,5,12
3002029,200065,201261,2,3252.26,2020-07-24 05:00:00.000000,5,Transaction 2029,2020,7,24
3014976,201383,201482,2,1238.81,2023-02-11 18:00:00.000000,22,Transaction14976,2023,2,11
3031849,200837,201428,1,4763.02,2022-12-18 05:00:00.000000,13,Transaction 31849,2022,12,18
3009965,201557,201132,2,3241.97,2023-02-11 20:00:00.000000,27,Transaction 9965,2023,2,11
3010872,200461,200071,2,2865.89,2021-03-31 09:00:00.000000,38,Transaction 10872,2021,3,31
3022841,201597,201401,3,2694.4,2024-01-16 11:00:00.000000,16,Transaction 22841,2024,1,16
3008661,200300,200018,2,3970.08,2022-06-11 08:00:00.000000,1,Transaction 8661,2022,6,11
3040074,200091,200074,2,1125.57,2020-01-22 00:00:00.000000,17,Transaction 40074,2020,1,22
3030761,200068,200925,1,2892.54,2022-01-28 15:00:00.000000,27,Transaction 30761,2022,1,28
3029121,201413,201043,3,1445.24,2020-09-04 02:00:00.000000,15,Transaction 29121,2020,9,4
3002031,201468,201570,3,1301.16,2022-04-07 04:00:00.000000,50,Transaction 2031,2022,4,7
3024253,201230,201586,4,1541.81,2021-08-07 02:00:00.000000,48,Transaction 24253,2021,8,7
3029530,200183,200096,3,144.59,2022-02-22 21:00:00.000000,22,Transaction 29530,2022,2,22
3032735,200401,201162,1,2552.58,2022-04-23 18:00:00.000000,15,Transaction 32735,2022,4,23
3043299,200199,201527,2,3059.95,2022-10-12 21:00:00.000000,46,Transaction 43299,2022,10,12
3028116,200186,201301,1,2705.19,2023-10-13 06:00:00.000000,21,Transaction 28116,2023,10,13
3042455,200826,200977,1,2586.24,2023-11-14 19:00:00.000000,13,Transaction 42455,2023,11,14
3047490,200392,200147,4,4027.48,2024-01-03 11:00:00.000000,3,Transaction 47490,2024,1,3
3015204,201077,200016,2,354.91,2022-08-26 18:00:00.000000,47,Transaction 15204,2022,8,26
3003090,200975,200098,2,4956.35,2022-10-28 13:00:00.000000,29,Transaction 3090,2022,10,28
3012510,201348,200217,1,2485.48,2021-08-26 08:00:00.000000,16,Transaction 12510,2021,8,26
3001781,200889,200604,1,2726.32,2022-06-26 23:00:00.000000,28,Transaction 1781,2022,6,26
3024592,200679,200893,1,4476.1,2021-03-24 03:00:00.000000,47,Transaction 24592,2021,3,24
3049426,200773,201005,2,3267.12,2020-11-20 11:00:00.000000,17,Transaction 49426,2020,11,20
3019550,200709,200874,3,397.34,2023-06-24 03:00:00.000000,36,Transaction 19550,2023,6,24
3006449,201385,200962,1,3568.02,2021-10-02 07:00:00.000000,35,Transaction 6449,2021,10,2
3008555,200780,201182,3,3034.6,2022-05-19 00:00:00.000000,50,Transaction 8555,2022,5,19
3048768,201272,201402,2,4880.31,2020-12-15 09:00:00.000000,4,Transaction 48768,2020,12,15
3014366,201492,201266,2,3914.92,2020-04-30 16:00:00.000000,23,Transaction 14366,2020,4,30
3021848,200929,200864,3,59.31,2023-12-21 10:00:00.000000,11,Transaction 21848,2023,12,21
3014740,200466,200179,2,2543.76,2022-10-08 19:00:00.000000,44,Transaction 14740,2022,10,8
3016680,200972,200386,3,1649.67,2023-06-16 01:00:00.000000,14,Transaction 16680,2023,6,16
3041008,200115,201505,2,3294.56,2021-01-07 22:00:00.000000,3,Transaction 41008,2021,1,7
3038343,200612,201551,1,3334.45,2023-04-04 13:00:00.000000,15,Transaction 38343,2023,4,4
3048327,201287,200691,2,4436.06,2021-07-31 15:00:00.000000,47,Transaction 48327,2021,7,31
3047748,200409,201247,1,2842.41,2020-08-24 06:00:00.000000,5,Transaction 47748,2020,8,24
3037146,200052,200162,1,3835.87,2020-09-24 11:00:00.000000,49,Transaction 37146,2020,9,24
3048153,200726,200352,3,3983.54,2020-09-26 19:00:00.000000,25,Transaction 48153,2020,9,26
3049258,201242,201167,1,4322.77,2023-05-11 11:00:00.000000,46,Transaction 49258,2023,5,11
3045301,200491,201595,2,4766.48,2021-01-09 16:00:00.000000,12,Transaction 45301,2021,1,9
3018111,200954,200226,3,2496.6,2022-02-26 03:00:00.000000,49,Transaction 18111,2022,2,26
3007700,201257,201089,2,49.36,2024-01-30 22:00:00.000000,35,Transaction 7700,2024,1,30
3003273,201303,201600,3,1890.45,2022-11-23 11:00:00.000000,12,Transaction 3273,2022,11,23
3006764,201022,200405,1,4755.37,2022-04-20 06:00:00.000000,38,Transaction 6764,2022,4,20
3014358,200265,200801,2,3670.73,2020-12-08 04:00:00.000000,39,Transaction 14358,2020,12,8
3026210,201257,200530,2,998.64,2022-01-16 07:00:00.000000,23,Transaction 26210,2022,1,16
3025440,201210,201324,2,2665.49,2023-11-16 06:00:00.000000,31,Transaction 25440,2023,11,16
3034223,200926,200691,3,3933.81,2020-11-12 10:00:00.000000,26,Transaction 34223,2020,11,12
3029525,200597,201340,1,3667.66,2021-02-01 17:00:00.000000,41,Transaction 29525,2021,2,1
3002802,200430,200287,3,3168.17,2023-10-03 12:00:00.000000,44,Transaction 2802,2023,10,3
3010077,200891,200824,3,1981.46,2020-03-09 02:00:00.000000,10,Transaction 10077,2020,3,9
3002338,200947,201601,2,2560.16,2020-05-14 12:00:00.000000,33,Transaction 2338,2020,5,14
3004562,201131,200157,2,3986.15,2022-05-11 02:00:00.000000,18,Transaction 4562,2022,5,11
3044505,200950,200557,3,4945.84,2023-01-09 02:00:00.000000,27,Transaction 44505,2023,1,9
3009836,200105,201235,3,3122.62,2024-01-21 11:00:00.000000,14,Transaction 9836,2024,1,21
3041596,200248,200331,4,6.68,2020-09-17 08:00:00.000000,22,Transaction 41596,2020,9,17
3048102,200495,200880,2,400.94,2020-02-12 16:00:00.000000,25,Transaction 48102,2020,2,12
3041940,200784,200402,1,3281.6,2020-12-19 17:00:00.000000,12,Transaction 41940,2020,12,19
3006811,201443,201567,3,1995.81,2020-05-01 05:00:00.000000,14,Transaction 6811,2020,5,1
3012417,200935,201629,4,3201.89,2022-08-18 03:00:00.000000,27,Transaction 12417,2022,8,18
3008229,200777,200096,1,755.27,2023-12-26 05:00:00.000000,38,Transaction 8229,2023,12,26
3024183,200430,201519,1,503.35,2020-09-30 05:00:00.000000,12,Transaction 24183,2020,9,30
3040163,201261,200190,4,1826.68,2022-03-29 06:00:00.000000,10,Transaction 40163,2022,3,29
3029709,201132,200408,3,4741.61,2020-06-06 13:00:00.000000,16,Transaction 29709,2020,6,6
3049320,201413,200038,2,2972.79,2022-01-28 12:00:00.000000,9,Transaction 49320,2022,1,28
3029622,201570,200012,3,763.88,2020-02-05 21:00:00.000000,25,Transaction 29622,2020,2,5
3018182,200933,201305,3,2666.28,2021-03-11 19:00:00.000000,18,Transaction 18182,2021,3,11
3012466,200058,200985,2,4616.13,2023-03-08 03:00:00.000000,41,Transaction 12466,2023,3,8
3032728,200600,200147,1,763.86,2020-10-10 23:00:00.000000,14,Transaction 32728,2020,10,10
3016077,200736,200714,4,32.04,2021-06-26 09:00:00.000000,37,Transaction 16077,2021,6,26
3000966,200648,201578,2,3958.18,2021-06-09 00:00:00.000000,8,Transaction 966,2021,6,9
3034796,200531,200703,4,3431.82,2020-06-16 02:00:00.000000,47,Transaction 34796,2020,6,16
3039249,200498,200627,1,855.72,2023-04-07 08:00:00.000000,4,Transaction 39249,2023,4,7
3047590,200043,200169,3,3108.52,2023-11-29 07:00:00.000000,46,Transaction 47590,2023,11,29
3037020,200485,200820,1,2578.7,2023-02-02 11:00:00.000000,9,Transaction 37020,2023,2,2
3028276,200148,200461,4,1771.07,2022-01-24 23:00:00.000000,13,Transaction 28276,2022,1,24
3019277,201043,200993,3,1507.15,2022-12-09 03:00:00.000000,41,Transaction 19277,2022,12,9
3034499,201487,201544,3,372.38,2020-08-07 22:00:00.000000,34,Transaction 34499,2020,8,7
3014268,200410,200132,3,1056.81,2023-01-30 11:00:00.000000,7,Transaction 14268,2023,1,30
3019997,201452,201200,1,731.55,2023-12-04 18:00:00.000000,44,Transaction 19997,2023,12,4
3014076,201573,201439,2,3471.08,2022-11-12 14:00:00.000000,8,Transaction 14076,2022,11,12
3008210,201160,200588,4,999.52,2022-03-22 21:00:00.000000,37,Transaction 8210,2022,3,22
3004215,200098,200963,3,91.57,2020-05-22 11:00:00.000000,46,Transaction 4215,2020,5,22
3033209,200897,201368,3,1582.12,2021-10-28 14:00:00.000000,10,Transaction 33209,2021,10,28
3011618,200708,200983,1,1537.94,2022-04-02 19:00:00.000000,22,Transaction 11618,2022,4,2
3003844,200387,200804,2,3535.18,2021-01-22 12:00:00.000000,21,Transaction 3844,2021,1,22
3006102,200686,200945,2,4016.5,2023-12-17 23:00:00.000000,13,Transaction 6102,2023,12,17
3005852,200586,201139,2,1593.44,2022-04-05 11:00:00.000000,10,Transaction 5852,2022,4,5
3042199,200404,200764,1,3008.52,2023-05-25 13:00:00.000000,19,Transaction 42199,2023,5,25
3009748,201581,200650,3,4221.18,2021-03-31 13:00:00.000000,13,Transaction 9748,2021,3,31
3028737,201038,200084,1,4081.74,2022-05-23 14:00:00.000000,32,Transaction 28737,2022,5,23
3009797,200064,201258,3,2365.56,2020-01-11 01:00:00.000000,30,Transaction 9797,2020,1,11
3021399,201629,200352,2,281.32,2023-03-03 12:00:00.000000,49,Transaction 21399,2023,3,3
3014081,200467,200099,1,884.44,2022-10-27 02:00:00.000000,19,Transaction 14081,2022,10,27
3039564,201385,200362,3,1025.25,2022-10-01 16:00:00.000000,47,Transaction 39564,2022,10,1
3029699,200788,200087,3,448.69,2022-01-08 01:00:00.000000,22,Transaction 29699,2022,1,8
3006572,201592,201588,4,4810.32,2020-06-28 16:00:00.000000,49,Transaction 6572,2020,6,28
3020972,200492,200462,1,4653.22,2022-11-27 23:00:00.000000,14,Transaction 20972,2022,11,27
3013086,200105,200055,1,2216.76,2021-06-23 11:00:00.000000,38,Transaction 13086,2021,6,23
3037437,200672,200559,3,4163.91,2020-11-20 06:00:00.000000,18,Transaction 37437,2020,11,20
3048451,200903,200256,3,1074.71,2020-11-24 03:00:00.000000,38,Transaction 48451,2020,11,24
3026832,200556,201144,2,2173.61,2022-05-16 16:00:00.000000,14,Transaction 26832,2022,5,16
3043964,200406,200335,3,3882.74,2022-01-28 16:00:00.000000,37,Transaction 43964,2022,1,28
3016843,201330,201151,3,4410.41,2023-01-31 17:00:00.000000,33,Transaction 16843,2023,1,31
3041068,200022,201494,1,294.53,2022-01-06 14:00:00.000000,42,Transaction 41068,2022,1,6
3013698,201291,201257,3,1716.3,2020-05-07 11:00:00.000000,40,Transaction 13698,2020,5,7
3036425,201138,201605,2,1020.41,2023-05-29 09:00:00.000000,16,Transaction 36425,2023,5,29
3019519,201278,200821,2,851.97,2021-03-13 16:00:00.000000,36,Transaction 19519,2021,3,13
3023595,201570,200472,2,245.13,2021-07-03 10:00:00.000000,15,Transaction 23595,2021,7,3
3038688,201033,201389,2,2617.39,2022-12-20 03:00:00.000000,42,Transaction 38688,2022,12,20
3024162,200887,200719,3,2971.76,2021-06-13 23:00:00.000000,29,Transaction 24162,2021,6,13
3044021,200682,200827,3,2884.08,2022-08-31 01:00:00.000000,44,Transaction 44021,2022,8,31
3034245,200889,201191,2,4203.35,2024-01-25 10:00:00.000000,41,Transaction 34245,2024,1,25
